"Gen_sp","SpecimenCode","Sample","Site","Transect","Plot","Habitat","SamplingPoint","Method","Abundance","body","leg","eye","mand","clyp"
"Acanthognathus_brevicornis","IT14-0116-45","IT14-0116","Itoupé","800m","P1",1,18,"Winkler48h",6,0.822523,0.819672131147541,0.229166666666667,0.811533938172043,0.330645161290323
"Acanthognathus_ocellatus","IT14-0072-38","IT14-0072","Itoupé","800m","P2",1,18,"Winkler48h",2,0.87967140625,0.838150289017341,0.235751295336788,0.632217616580311,0.324
"Acanthognathus_ocellatus","IT14-0954-40","IT14-0954","Itoupé","450m","P9",1,4,"Winkler48h",10,0.87967140625,0.838150289017341,0.235751295336788,0.632217616580311,0.324
"Acanthognathus_ocellatus","IT14-0794-35","IT14-0794","Itoupé","450m","P8",1,14,"Winkler48h",15,0.87967140625,0.838150289017341,0.235751295336788,0.632217616580311,0.324
"Acanthognathus_sp.IT14.1","IT14-0304-25","IT14-0304","Itoupé","800m","P3",1,12,"Winkler48h",1,0.840437,0.862903225806452,0.224489795918367,0.426605888256942,0.319672131147541
"Acromyrmex_subterraneus","IT14-0272-75","IT14-0272","Itoupé","600m","P5",1,20,"Winkler48h",18,4.78370328125,1.12507956715468,0.165990973762717,0.258105934641616,0.352795349632416
"Acromyrmex_subterraneus","IT14-0268-33","IT14-0268","Itoupé","600m","P5",1,16,"Winkler48h",1,4.78370328125,1.12507956715468,0.165990973762717,0.258105934641616,0.352795349632416
"Acromyrmex_subterraneus","IT14-0818-46","IT14-0818","Itoupé","450m","P7",1,18,"Winkler48h",1,4.78370328125,1.12507956715468,0.165990973762717,0.258105934641616,0.352795349632416
"Acromyrmex_subterraneus","IT14-0958-18","IT14-0958","Itoupé","450m","P9",1,8,"Winkler48h",1,4.78370328125,1.12507956715468,0.165990973762717,0.258105934641616,0.352795349632416
"Acropyga_decedens","IT14-0056-63","IT14-0056","Itoupé","800m","P2",1,2,"Winkler48h",1,0.5643248,0.703629032258065,0.0619047619047619,0.16411639053871,0.221006564551422
"Acropyga_decedens","IT14-0062-73","IT14-0062","Itoupé","800m","P2",1,8,"Winkler48h",5,0.5643248,0.703629032258065,0.0619047619047619,0.16411639053871,0.221006564551422
"Acropyga_guianensis","IT14-0423-95","IT14-0423","Itoupé","600m","P4",1,3,"Winkler48h",3,0.381541265625,0.714285714285714,0.0677966101694915,0.165486379146389,0.270627062706271
"Acropyga_guianensis","IT14-0259-71","IT14-0259","Itoupé","600m","P5",1,7,"Winkler48h",1,0.381541265625,0.714285714285714,0.0677966101694915,0.165486379146389,0.270627062706271
"Acropyga_guianensis","IT14-0312-37","IT14-0312","Itoupé","800m","P3",1,20,"Winkler48h",1,0.381541265625,0.714285714285714,0.0677966101694915,0.165486379146389,0.270627062706271
"Acropyga_smithii","IT14-0796-57","IT14-0796","Itoupé","450m","P8",1,16,"Winkler48h",1,0.260901671875,0.564393939393939,0.0786026200873362,0.161103548255927,0.178137651821862
"Acropyga_smithii","IT14-0793-44","IT14-0793","Itoupé","450m","P8",1,13,"Winkler48h",1,0.260901671875,0.564393939393939,0.0786026200873362,0.161103548255927,0.178137651821862
"Acropyga_smithii","IT14-0794-39","IT14-0794","Itoupé","450m","P8",1,14,"Winkler48h",1,0.260901671875,0.564393939393939,0.0786026200873362,0.161103548255927,0.178137651821862
"Acropyga_smithii","IT14-0819-26","IT14-0819","Itoupé","450m","P7",1,19,"Winkler48h",1,0.260901671875,0.564393939393939,0.0786026200873362,0.161103548255927,0.178137651821862
"Acropyga_smithii","IT14-0965-61","IT14-0965","Itoupé","450m","P9",1,15,"Winkler48h",1,0.260901671875,0.564393939393939,0.0786026200873362,0.161103548255927,0.178137651821862
"Acropyga_smithii","IT14-0430-25","IT14-0430","Itoupé","600m","P4",1,10,"Winkler48h",5,0.260901671875,0.564393939393939,0.0786026200873362,0.161103548255927,0.178137651821862
"Acropyga_smithii","IT14-0960-29","IT14-0960","Itoupé","450m","P9",1,10,"Winkler48h",1,0.260901671875,0.564393939393939,0.0786026200873362,0.161103548255927,0.178137651821862
"Acropyga_smithii","IT14-0954-38","IT14-0954","Itoupé","450m","P9",1,4,"Winkler48h",5,0.260901671875,0.564393939393939,0.0786026200873362,0.161103548255927,0.178137651821862
"Anochetus_bispinosus","IT14-0955-20","IT14-0955","Itoupé","450m","P9",1,5,"Winkler48h",1,1.705175625,0.71608040201005,0.157907783837382,0.259159617687286,0.159509202453988
"Anochetus_bispinosus","IT14-0310-19","IT14-0310","Itoupé","800m","P3",1,18,"Winkler48h",1,1.705175625,0.71608040201005,0.157907783837382,0.259159617687286,0.159509202453988
"Anochetus_bispinosus","IT14-0260-15","IT14-0260","Itoupé","600m","P5",1,8,"Winkler48h",1,1.705175625,0.71608040201005,0.157907783837382,0.259159617687286,0.159509202453988
"Anochetus_bispinosus","IT14-0554-07","IT14-0554","Itoupé","600m","P6",1,4,"Winkler48h",1,1.705175625,0.71608040201005,0.157907783837382,0.259159617687286,0.159509202453988
"Anochetus_bispinosus","IT14-0790-25","IT14-0790","Itoupé","450m","P8",1,10,"Winkler48h",4,1.705175625,0.71608040201005,0.157907783837382,0.259159617687286,0.159509202453988
"Anochetus_diegensis","IT14-0297-86","IT14-0297","Itoupé","800m","P3",1,5,"Winkler48h",2,1.05833609375,0.672868217054263,0.125531914893617,0.217967924268186,0.311015118790497
"Anochetus_horridus","IT14-0955-19","IT14-0955","Itoupé","450m","P9",1,5,"Winkler48h",2,2.32207288,0.774348568987612,0.215078264315435,0.562194954348232,0.199139414802065
"Anochetus_horridus","IT14-0262-63","IT14-0262","Itoupé","600m","P5",1,10,"Winkler48h",1,2.32207288,0.774348568987612,0.215078264315435,0.562194954348232,0.199139414802065
