Specimen;Sample;Site;Transect;Plot;Habitat;SamplingPoint/Replicate;Method;FocalGroup;SubFamily;Tribe;Genus;Species;Author;Sex;Abundance;TeteLong;TeteLarg;MandibuleLong;ClypeusLong;ScapeAntennaireLong;OeilLong;WeberLong;FemurPostLong;ThoraxLargMax
IT14-0055-129;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Pheidolini;Pheidole;fallax;Mayr, 1870;;76;;;;;;;;;
IT14-0055-130;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Pheidolini;Pheidole;gp.flavens.sp.D.2;-;;49;;;;;;;;;
IT14-0055-132;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Pheidolini;Pheidole;gp.fallax.sp.H;-;;1;;;;;;;;;
IT14-0055-133;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Pheidolini;Pheidole;sp.IT14.4;-;;1;0,416;0,416;0,247;0,143;0,312;0,091;0,429;0,377;0,247
IT14-0055-134;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Pheidolini;Pheidole;gp.tristis.sp.A;-;;9;;;;;;;;;
IT14-0055-135;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Solenopsidini;Solenopsis;sp.IT14.15;-;;1;;;;;;;;;
IT14-0055-136;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Solenopsidini;Solenopsis;sp.IT14.11;-;;1;;;;;;;;;
IT14-0055-137;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Solenopsidini;Solenopsis;sp.IT14.21;-;;7;;;;;;;;;
IT14-0055-138;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Solenopsidini;Solenopsis;sp.IT14.11;-;;3;;;;;;;;;
IT14-0055-139;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Solenopsidini;Solenopsis;sp.IT14.29;-;;1;0,403;0,338;0,208;0,065;0,273;0,039;0,468;0,364;0,234
IT14-0055-140;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Ectatomminae;Ectatommini;Gnamptogenys;horni;Santschi, 1929;;2;;;;;;;;;
IT14-0055-141;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Attini;Cephalotes;sp.IT14.3;-;;1;0,871;0,884;0,273;0,2665;0,572;0,273;1,105;0,611;0,637
IT14-0055-142;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Attini;Myrmicocrypta;sp.D;-;;1;;;;;;;;;
IT14-0055-143;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Attini;Cyphomyrmex;rimosus;(Spinola, 1851);;2;;;;;;;;;
IT14-0055-144;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Amblyoponinae;-;Prionopelta;sp.IT14.1;-;;1;;;;;;;;;
IT14-0055-145;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Attini;Octostruma;betschi;Perrault, 1988;;2;;;;;;;;;
IT14-0055-146;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Dacetini;Strumigenys;denticulata;(Mayr, 1887);;27;;;;;;;;;
IT14-0055-147;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Ponerinae;Ponerini;Leptogenys;sp.IT14.3;-;;1;0,897;0,598;0,468;0,312;0,806;0,169;1,352;0,858;0,507
IT14-0055-148;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Ponerinae;Ponerini;Leptogenys;sp.IT14.2;-;;1;0,9815;0,5785;0,416;0,3575;0,9165;0,2275;1,443;1,014;0,5265
IT14-0055-149;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Crematogastrini;Crematogaster;sotobosque;Longino, 2003;;7;;;;;;;;;
IT14-0055-150;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Myrmicinae;Pogonomyrmecini;Hylomyrma;sp.IT14.1;-;;16;;;;;;;;;
IT14-0055-151;IT14-0055;Itoupé;800m;P2;1;1;Winkler48h;Ant;Ponerinae;Ponerini;Hypoponera;sp.IT14.2;-;;30;;;;;;;;;
